state_id,daily_state_label,intraday_cluster,intraday_cluster_label,n,avg_next_ret,win_rate_next,q05_next,worst_next,signal_bias,conviction
1,Mild Trend Up,2,Strong Uptrend,43,0.002699809212099129,0.7209302325581395,-0.022112051071385395,-0.052578679224774216,LEV_candidate,medium
3,Strong Momentum Up,4,Flat / Chop,42,0.0021491732448312467,0.6190476190476191,-0.038071876815981474,-0.07242317745620142,LEV_candidate,medium
3,Strong Momentum Up,1,Strong Downtrend,16,0.001855988641101508,0.75,-0.020950165489490663,-0.032212555232489226,LEV_candidate,medium
2,Weak Pullback / Neutral,1,Strong Downtrend,17,0.0018010349008506805,0.7058823529411765,-0.03053761639502779,-0.038832956878649294,LEV_candidate,medium
4,Oversold Rebound,3,Mild Up Drift,6,0.01453969503104452,0.6666666666666666,-0.09403621258976722,-0.12057682152301596,LEV_candidate,low_sample
4,Oversold Rebound,4,Flat / Chop,5,-0.004528461205613632,0.6,-0.040025392633729354,-0.042605092011313905,NO_TRADE_or_WEAK,low_sample
1,Mild Trend Up,4,Flat / Chop,26,0.0026769244750367484,0.46153846153846156,-0.010250319786044626,-0.015259774945072357,NO_TRADE_or_WEAK,low
4,Oversold Rebound,1,Strong Downtrend,12,0.017705314771303705,0.8333333333333334,-0.0037719003210700485,-0.006098235719982692,LEV_candidate,high
3,Strong Momentum Up,2,Strong Uptrend,20,0.009145154736092512,0.7894736842105263,-0.03634500992441467,-0.06494329596420512,LEV_candidate,high
1,Mild Trend Up,1,Strong Downtrend,12,0.00830562464238846,0.75,-0.013345228552388077,-0.018374640159806055,LEV_candidate,high
2,Weak Pullback / Neutral,2,Strong Uptrend,35,0.004651101339157249,0.6571428571428571,-0.010305425303356618,-0.01499844500992753,LEV_candidate,high
